Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-0.009832000,1,1,1,1,1,1,1,1
-0.008231417,0,1,1,1,1,1,1,1
0.000000000,1,1,1,1,1,1,1,1
0.003293750,0,1,1,1,1,1,1,1
0.004941500,1,1,1,1,1,1,1,1
0.011529833,0,1,1,1,1,1,1,1
0.019762917,1,1,1,1,1,1,1,1
0.062910167,0,1,1,1,1,1,1,1
0.064556500,1,1,1,1,1,1,1,1
0.066203000,0,1,1,1,1,1,1,1
0.067849333,1,1,1,1,1,1,1,1
0.069496333,0,1,1,1,1,1,1,1
0.079379417,1,1,1,1,1,1,1,1
0.082673250,0,1,1,1,1,1,1,1
0.085965833,1,1,1,1,1,1,1,1
0.087612667,0,1,1,1,1,1,1,1
0.089259167,1,1,1,1,1,1,1,1
0.090906083,0,1,1,1,1,1,1,1
0.099138250,1,1,1,1,1,1,1,1
0.102431167,0,1,1,1,1,1,1,1
0.104077750,1,1,1,1,1,1,1,1
0.110663500,0,1,1,1,1,1,1,1
0.118895750,1,1,1,1,1,1,1,1
0.161498583,0,1,1,1,1,1,1,1
0.163144917,1,1,1,1,1,1,1,1
0.164791333,0,1,1,1,1,1,1,1
0.166437333,1,1,1,1,1,1,1,1
0.168083500,0,1,1,1,1,1,1,1
0.177964750,1,1,1,1,1,1,1,1
0.181258000,0,1,1,1,1,1,1,1
0.184550333,1,1,1,1,1,1,1,1
0.186196333,0,1,1,1,1,1,1,1
0.187842333,1,1,1,1,1,1,1,1
0.189488667,0,1,1,1,1,1,1,1
0.197719750,1,1,1,1,1,1,1,1
0.201007417,0,1,1,1,1,1,1,1
0.202648917,1,1,1,1,1,1,1,1
0.209230500,0,1,1,1,1,1,1,1
0.217459750,1,1,1,1,1,1,1,1
0.260361750,0,1,1,1,1,1,1,1
0.262009417,1,1,1,1,1,1,1,1
0.263656833,0,1,1,1,1,1,1,1
0.265304083,1,1,1,1,1,1,1,1
0.266950667,0,1,1,1,1,1,1,1
0.276830417,1,1,1,1,1,1,1,1
0.280123833,0,1,1,1,1,1,1,1
0.283417333,1,1,1,1,1,1,1,1
0.285064833,0,1,1,1,1,1,1,1
0.286710833,1,1,1,1,1,1,1,1
0.288356667,0,1,1,1,1,1,1,1
0.296588333,1,1,1,1,1,1,1,1
0.299879500,0,1,1,1,1,1,1,1
0.301524750,1,1,1,1,1,1,1,1
0.308106750,0,1,1,1,1,1,1,1
0.316332917,1,1,1,1,1,1,1,1
0.359039417,0,1,1,1,1,1,1,1
0.360685833,1,1,1,1,1,1,1,1
0.362332000,0,1,1,1,1,1,1,1
0.363978000,1,1,1,1,1,1,1,1
0.365624833,0,1,1,1,1,1,1,1
0.375505250,1,1,1,1,1,1,1,1
0.378798083,0,1,1,1,1,1,1,1
0.382090583,1,1,1,1,1,1,1,1
0.383737333,0,1,1,1,1,1,1,1
0.385383917,1,1,1,1,1,1,1,1
0.387030917,0,1,1,1,1,1,1,1
0.395264417,1,1,1,1,1,1,1,1
0.398557667,0,1,1,1,1,1,1,1
0.400204417,1,1,1,1,1,1,1,1
0.406795083,0,1,1,1,1,1,1,1
0.415030833,1,1,1,1,1,1,1,1
0.457949417,0,1,1,1,1,1,1,1
0.459596000,1,1,1,1,1,1,1,1
0.461242417,0,1,1,1,1,1,1,1
0.462889500,1,1,1,1,1,1,1,1
0.464537250,0,1,1,1,1,1,1,1
0.474416083,1,1,1,1,1,1,1,1
0.477709250,0,1,1,1,1,1,1,1
0.481002583,1,1,1,1,1,1,1,1
0.482649333,0,1,1,1,1,1,1,1
0.484295750,1,1,1,1,1,1,1,1
0.485942500,0,1,1,1,1,1,1,1
0.494174833,1,1,1,1,1,1,1,1
0.497466750,0,1,1,1,1,1,1,1
0.499112667,1,1,1,1,1,1,1,1
0.505697083,0,1,1,1,1,1,1,1
0.513929750,1,1,1,1,1,1,1,1
0.556837833,0,1,1,1,1,1,1,1
0.558484583,1,1,1,1,1,1,1,1
0.560131833,0,1,1,1,1,1,1,1
0.561779333,1,1,1,1,1,1,1,1
0.563427083,0,1,1,1,1,1,1,1
0.573317750,1,1,1,1,1,1,1,1
0.576612667,0,1,1,1,1,1,1,1
0.579907500,1,1,1,1,1,1,1,1
0.581555417,0,1,1,1,1,1,1,1
0.583202667,1,1,1,1,1,1,1,1
0.584849833,0,1,1,1,1,1,1,1
0.593086417,1,1,1,1,1,1,1,1
0.596381417,0,1,1,1,1,1,1,1
0.598028833,1,1,1,1,1,1,1,1
0.604617417,0,1,1,1,1,1,1,1
0.612852167,1,1,1,1,1,1,1,1
0.655686000,0,1,1,1,1,1,1,1
0.657333500,1,1,1,1,1,1,1,1
0.658981083,0,1,1,1,1,1,1,1
0.660628500,1,1,1,1,1,1,1,1
0.662275500,0,1,1,1,1,1,1,1
0.672157750,1,1,1,1,1,1,1,1
0.675453083,0,1,1,1,1,1,1,1
0.678748500,1,1,1,1,1,1,1,1
0.680395833,0,1,1,1,1,1,1,1
0.682042250,1,1,1,1,1,1,1,1
